# PPO-Bi detailed evaluation results (greedy inference)

[summary]
generated_at_utc: 2026-07-08T11:26:45+00:00
run_id: ymhrz9yg
checkpoint: runs/ymhrz9yg/model_step_1001472.pt
global_step: 1001472
algorithm: PPO_BI
inference_mode: greedy
sampling_temperature: 1.0
reward: delta_qed
masking: r2_available
eval_r2_pool: train
r2_arch: lookup
starts_file: data/reactants_test.pkl
num_start_molecules: 2000
start_offset: 0
total_starts: 2000
total_reactions: 2302
max_qed: 0.948
best_qed: 0.948
mean_delta_qed: 0.2288165
avg_delta_qed: 0.2288165
avg_num_reactions: 1.151
max_episode_len: 4
positive_delta_fraction: 0.987
negative_delta_fraction: 0.0065
zero_delta_fraction: 0.0065
results_file: run_detailed_results/compact/4s_delta_qed_ymhrz9yg_1m_compact_results.txt

[trajectories]
path_id	start_smiles	final_smiles	initial_qed	final_qed	max_qed	delta_qed	num_reactions	stopped
0	N#CCCC(N)C#N	Cc1cc2c(=O)n(C(C#N)CCC#N)cnc2cc1F	0.548	0.856	0.856	0.30799999999999994	1	1
1	C[C@@H]1[C@@H](C(=O)O)[C@@H](O)C(=O)N1C	C[C@@H]1[C@@H](c2nc3cc(C(=O)O)ccc3s2)[C@@H](O)C(=O)N1C	0.528	0.872	0.872	0.344	1	1
2	CC[C@H](C)[C@H](N)C(=O)O	CC[C@H](C)[C@H](N)c1nc2cc(C(=O)O)ccc2s1	0.584	0.889	0.889	0.30500000000000005	1	1
3	OCCCC(F)(F)F	OCc1cccc(CCCC(F)(F)F)n1	0.594	0.843	0.843	0.249	2	1
4	NC1CC(CO)C1	OCC1CC(n2c3c(c4c2CCC4)CCCC3)C1	0.477	0.851	0.851	0.374	1	1
5	CC(C)(C)O[C@@H]1C[C@H]1C(=O)O	CC(C)(C)O[C@@H]1C[C@H]1c1nc2cc(C(=O)O)ccc2s1	0.658	0.937	0.937	0.279	1	1
6	CC(F)(F)CC(N)C(=O)O	CC(F)(F)CC(C(=O)O)n1c2c(c3c1CCC3)CCCC2	0.618	0.924	0.924	0.30600000000000005	1	1
7	CC(C)(NS(C)(=O)=O)C(=O)O	CC(C)(NS(C)(=O)=O)c1nc2cc(C(=O)O)ccc2s1	0.609	0.896	0.896	0.28700000000000003	1	1
8	CC(C)C(C)C(N)C(=O)O	CC(C)C(C)C(C(=O)O)n1c2c(c3c1CCC3)CCCC2	0.614	0.916	0.916	0.30200000000000005	1	1
9	CC(F)(F)CCC(=O)O	CC(F)(F)CCc1nc2cc(C(=O)O)ccc2s1	0.641	0.924	0.924	0.28300000000000003	1	1
10	CC(C)OC(C)(C)C(=O)O	CC(C)OC(C)(C)c1nc2cc(C(=O)O)ccc2s1	0.652	0.928	0.928	0.276	1	1
11	O=C(O)C(F)(F)CBr	O=C(NC1CC2OCCCC12)C(F)(F)Cc1sc(Cl)nc1C(F)(F)F	0.66	0.779	0.872	0.119	2	1
12	CC1CC1CN	CC1CC1CN(Cc1cccc(C#N)c1)Cc1cccc(C#N)c1	0.495	0.807	0.809	0.31200000000000006	2	1
13	N#CC(N)CC(F)(F)F	N#Cc1cccc(CNC(C#N)CC(F)(F)F)c1	0.582	0.896	0.896	0.31400000000000006	1	1
14	N[C@@H](CCOC(F)(F)F)C(=O)O	N[C@@H](CCOC(F)(F)F)c1nc2cc(C(=O)O)ccc2s1	0.664	0.884	0.884	0.21999999999999997	1	1
15	CO[C@@H]1CNC[C@H]1O	CO[C@@H]1CNC[C@H]1Oc1cccc(CO)n1	0.461	0.75	0.75	0.289	1	1
16	C[C@@H](O)[C@@H](CO)NC(=O)OC(C)(C)C	C[C@@H](c1cccc(CO)n1)[C@@H](CO)NC(=O)OC(C)(C)C	0.617	0.767	0.767	0.15000000000000002	2	1
