# PPO-Bi detailed evaluation results (greedy inference)

[summary]
generated_at_utc: 2026-06-28T12:28:45+00:00
run_id: 9gj82ve1
checkpoint: runs/9gj82ve1/final_model.pt
global_step: 1001472
algorithm: PPO_BI
inference_mode: greedy
sampling_temperature: 1.0
reward: delta_seh
masking: r2_available
eval_r2_pool: train
r2_arch: lookup
starts_file: data/Bi/reactants_compact_test.pkl
num_start_molecules: 2000
start_offset: 0
total_starts: 2000
total_reactions: 5949
max_qed: 0.944
best_qed: 0.944
mean_delta_qed: -0.25506049999999997
avg_delta_qed: -0.25506049999999997
avg_num_reactions: 2.9745
max_episode_len: 4
positive_delta_fraction: 0.9955
negative_delta_fraction: 0.0025
zero_delta_fraction: 0.002
results_file: run_detailed_results/internal/ppo/4_steps/compact/4s_delta_seh_9gj82ve1_compact_results.txt
max_seh: 1.027742624282837
best_seh: 1.027742624282837
mean_delta_seh: 0.6329683447869793
avg_delta_seh: 0.6329683447869793

[trajectories]
path_id	start_smiles	final_smiles	initial_qed	final_qed	max_qed	delta_qed	num_reactions	stopped
0	N#CCCC(N)C#N	N#CCCC(C#N)NCc1cc(-c2ccc3c(c2)CCO3)co1	0.548	0.886	0.889	0.33799999999999997	2	1
1	C[C@@H]1[C@@H](C(=O)O)[C@@H](O)C(=O)N1C	C[C@@H]1[C@@H](C(=O)Cc2ccc(-c3ccc4c(ccc5[nH]c(-c6ccc7c(c6)CCC7)cc54)c3)cc2)[C@@H](O)C(=O)N1C	0.528	0.29	0.913	-0.23800000000000004	3	1
2	CC[C@H](C)[C@H](N)C(=O)O	CC[C@H](C)[C@H](N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.584	0.248	0.903	-0.33599999999999997	3	1
3	OCCCC(F)(F)F	Cc1cc(-c2cccc3c2CCC3)ccc1C#CCCCC(F)(F)F	0.594	0.458	0.594	-0.13599999999999995	3	1
4	NC1CC(CO)C1	Cc1cc(-c2ccc3c(c2)CCO3)ccc1C#CCC1CC(N)C1	0.477	0.847	0.847	0.37	3	1
5	CC(C)(C)O[C@@H]1C[C@H]1C(=O)O	CC(C)(C)O[C@@H]1C[C@H]1C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.658	0.79	0.846	0.132	2	1
6	CC(F)(F)CC(N)C(=O)O	CC(F)(F)CC(N)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.618	0.237	0.909	-0.381	3	1
7	CC(C)(NS(C)(=O)=O)C(=O)O	CC(C)(NS(C)(=O)=O)C(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.609	0.247	0.894	-0.362	3	1
8	CC(C)C(C)C(N)C(=O)O	CC(C)C(C)C(N)C(=O)Cc1ccc(-c2ccc3c(c2)CCO3)cc1	0.614	0.866	0.907	0.252	2	1
9	CC(F)(F)CCC(=O)O	CC(F)(F)CCC(=O)Cc1ccc(-c2ccc3c(ccc4[nH]c(-c5ccc6c(c5)CCC6)cc43)c2)cc1	0.641	0.242	0.801	-0.399	3	1
